clip_id,frame,time_sec,is_contact_frame,video_name,event_id,camera_angle,target_zone,gk_guessed,outcome,foot_used,kicking_leg,kick_knee_angle,supp_knee_angle,kick_ankle_angle,supp_ankle_angle,kick_hip_angle,left_elbow_angle,right_elbow_angle,kick_angular_vel,kick_angular_accel,kick_foot_speed_ms,running_speed_kmh,trunk_inclination,lateral_trunk_lean,torso_torsion_angle,mean_visibility_score,kick_hip_angular_vel,kick_ankle_angular_vel,support_foot_x,support_foot_y
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,0,0.0,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,174.1758,156.6181,,147.2896,165.4555,,147.8623,-277.9396,3799.7913,3.4388,2.7525,15.1862,15.1862,4.9491,0.7295,-127.4532,,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,1,0.04,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,163.0582,157.039,177.5942,154.1687,160.3574,,121.2906,-125.948,2506.3515,3.4388,2.7525,14.8282,14.8282,1.6391,0.7352,-80.2591,-55.5998,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,2,0.08,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,164.1,154.0944,173.1462,131.593,159.0348,,128.794,-77.4315,-1630.3039,2.4571,3.6825,17.9057,17.9057,0.1713,0.7331,-108.4658,-152.1526,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,3,0.12,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,156.8637,152.7839,165.422,125.0125,151.6801,,148.9831,-256.3723,-2934.7324,1.5576,0.2652,20.7422,20.7422,1.3284,0.7296,-189.0326,-60.0487,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,4,0.16,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,143.5902,156.701,168.3423,120.5405,143.9122,,132.1083,-312.2101,6781.3635,2.3493,0.813,21.9053,21.9053,0.8006,0.7282,-127.5198,-80.345,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,5,0.2,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,131.8869,163.328,158.9944,153.6788,141.4785,,119.2567,286.1368,6591.9495,2.308,1.4413,22.5193,22.5193,4.2636,0.7272,-43.203,-440.6178,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,6,0.24,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,166.4811,159.1073,133.0929,141.608,140.4559,,78.3855,215.1459,-4311.0418,4.0665,0.601,21.8476,21.8475,0.2176,0.741,-106.6179,203.4233,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,7,0.28,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,149.0986,155.7916,175.2682,144.6481,132.9491,137.5822,57.717,-58.7465,321.8055,3.4527,1.2874,21.6273,21.6273,0.97,0.7562,-81.9513,407.5951,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,8,0.32,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,161.7814,169.1999,165.7005,159.1,133.8998,136.3377,29.2967,240.8903,2465.9228,5.6164,0.368,19.9886,19.9886,5.8434,0.7654,115.23,24.651,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,9,0.36,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,168.3698,177.3419,177.2403,153.4679,142.1675,134.834,15.4617,138.5273,-1898.0908,1.7762,0.7645,19.3949,19.3949,7.7476,0.7717,256.5508,6.1543,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,10,0.4,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,172.8636,177.1315,,160.4758,154.4239,136.1979,11.4814,89.043,-1575.1743,3.0737,0.267,18.004,18.004,9.8524,0.7713,338.4689,,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,11,0.44,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,175.4932,171.8748,155.1454,177.1529,169.245,92.4366,,12.5134,-1478.9891,4.1906,6.8798,14.4996,14.4995,9.8584,0.7403,292.0376,6.6009,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,12,0.48,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,173.8647,162.0033,166.7209,168.622,177.7869,83.938,159.3259,-29.2761,-256.5169,2.6963,0.3018,12.9677,12.9677,9.1672,0.7333,26.6946,171.6156,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,13,0.52,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,,141.0329,168.8746,159.9574,,133.3296,173.5925,,,2.4752,0.541,12.7313,12.7313,10.6203,0.7423,,-33.3742,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,14,0.56,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,172.4376,114.4109,164.051,140.6863,164.9742,129.6933,177.2914,13.2601,-4184.9569,3.6082,6.074,10.4973,10.4973,5.5354,0.7211,-215.9312,-92.8068,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,15,0.6,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,174.2119,127.1259,161.4501,138.6985,154.1061,167.6664,168.1757,-342.8046,-1817.441,5.0338,4.9097,7.9298,7.9298,4.9596,0.717,-309.9979,-63.685,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,16,0.64,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,,141.5617,158.9562,,140.1744,138.9095,172.2725,,,1.0959,7.3362,5.8795,5.8795,12.033,0.7151,-114.1367,-108.8411,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,17,0.68,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,,134.7163,152.7428,106.682,144.9751,152.8457,172.4501,,,2.5495,3.8203,3.2695,3.2695,13.1758,0.7249,61.3432,-168.9304,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,18,0.72,0,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,86.6159,92.0438,145.4417,87.3077,145.0819,131.4771,,289.2035,15373.0007,5.9715,3.0931,4.2677,4.2677,7.7081,0.7364,213.4624,227.1614,70.6393,3.0507
crop_AJA_PAN_UEL__event_2890ce3558aa4ce9bbc0757281495a6a__t0_37284,19,0.76,1,AJA_PAN_UEL.mp4,2890ce3558aa4ce9bbc0757281495a6a,3,7,1,saved,left,left,138.9509,,170.9157,137.8188,162.0521,163.0191,27.1446,1308.3742,25479.2674,5.2856,6.0979,2.2692,-2.2691,7.2763,0.7161,424.2565,636.8488,70.6393,3.0507
crop_AJA_PAN_UEL__event_3ef21f05ec9c449ba204f34934548c52__t0_12987,0,0.0,0,AJA_PAN_UEL.mp4,3ef21f05ec9c449ba204f34934548c52,3,7,1,goal,left,left,149.5902,164.4534,160.1613,174.2863,168.6439,2.7228,43.465,498.8598,-8074.0881,5.1987,7.8199,20.3572,20.3572,0.3897,0.8337,-43.5596,210.1528,57.9348,-12.5229
